room_id,host_id,room_type,country,city,neighborhood,address,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,deleted,minstay,last_modified,latitude,longitude,survey_id,location,coworker_hosted,extra_host_languages,name,property_type,currency,rate_type
20678898,19387676,Entire home/apt,NA,NA,NA,"Monserrat, Buenos Aires, Argentina",0,NA,3,1,1,978,0,NA,2018-02-09T18:28:29Z,-34.617094,-58.382746,1,0101000020E6100000605628D2FD304DC06747AAEFFC4E41C0,NA,NA,Bright 2br flat near downtown! Warm and cute,Apartment,ARS,nightly
14350417,32907999,Entire home/apt,NA,NA,NA,"Buenos Aires, CABA, Argentina",9,5,2,0,1,815,0,NA,2018-02-09T18:28:29Z,-34.61982,-58.379003,1,0101000020E6100000FE0A992B83304DC00FB40243564F41C0,NA,NA,Cozy loft to LOVE BA. All you need is LOFT :),Loft,ARS,nightly
2071225,10533266,Entire home/apt,NA,NA,NA,"Buenos Aires, Autonomous City of Buenos Aires, Argentina",53,4.5,3,1,1,917,0,NA,2018-02-09T18:28:29Z,-34.618147,-58.379157,1,0101000020E61000005586713788304DC06D8FDE701F4F41C0,NA,NA,KOHLI-HOUSE    LOFT EXPERIENCIA,Apartment,ARS,nightly
13659362,79380115,Entire home/apt,NA,NA,NA,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",5,5,3,2,1,1019,0,NA,2018-02-09T18:28:29Z,-34.616835,-58.380578,1,0101000020E6100000DEC9A7C7B6304DC09B030473F44E41C0,NA,NA,Habitación en PH San Telmo,Condominium,ARS,nightly
12173563,107517,Entire home/apt,NA,NA,NA,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",20,5,2,0,1,917,0,NA,2018-02-09T11:32:59Z,-34.584884,-58.426195,1,0101000020E6100000FF5BC98E8D364DC012FA997ADD4A41C0,NA,NA,Adorable &amp; Bright Studio Palermo SoHo,Apartment,ARS,nightly
21127100,2206082,Entire home/apt,NA,NA,NA,"Palermo, Buenos Aires, Argentina",4,5,2,1,1,1019,0,NA,2018-02-09T11:32:59Z,-34.584684,-58.422949,1,0101000020E61000001E705D3123364DC04B3FE1ECD64A41C0,NA,NA,THE TERRACE,Apartment,ARS,nightly
5508960,22055825,Entire home/apt,NA,NA,NA,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",110,4.5,3,1,1,856,0,NA,2018-02-09T11:32:59Z,-34.584087,-58.423546,1,0101000020E6100000022D5DC136364DC06682E15CC34A41C0,NA,NA,"Lovely apartment in Palermo, 55 mt2",Apartment,ARS,nightly
17828892,10995983,Entire home/apt,NA,NA,NA,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",29,5,4,2,1,1080,0,NA,2018-02-09T22:20:53Z,-34.616379,-58.390228,1,0101000020E6100000E3FDB8FDF2314DC07978CF81E54E41C0,NA,NA,Entire home/apt 4beds fully equipped near SanTelmo,Apartment,ARS,nightly
11115012,2908099,Entire home/apt,NA,NA,NA,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",50,5,2,1,1,815,0,NA,2018-02-09T14:50:55Z,-34.557642,-58.464618,1,0101000020E61000000491459A783B4DC0227024D0604741C0,NA,NA,"LIKE HOME Luminoso, amplio y cálido",Apartment,ARS,nightly
18463094,117188328,Entire home/apt,NA,NA,NA,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",1,NA,2,0,1,1529,0,NA,2018-02-09T20:36:53Z,-34.590388,-58.404336,1,0101000020E6100000384C3448C1334DC0B5F97FD5914B41C0,NA,NA,Totally Equiped Appartment,Apartment,ARS,nightly
