X,Y,NOMBRE,DOMICILIO,IMAGEN,AUTOMAT,OBSERV,NRO_EST,HORARIO,DIRE_NORM
-5842047096263039,-34619802649015008,CASTRO Y MEXICO,CASTRO 680 ENTRE MEXICO Y AGRELO,ESTACION_AUTOMATICA.PNG,AUTOMATICA,jul-17,180,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,680 CASTRO
-58389691907404696,-34615637634194184,VIRREY CEVALLOS,MEXICO 1652 ENTRE VIRREY CEVALLOS Y SOLIS,ESTACION_AUTOMATICA.PNG,AUTOMATICA,jul-17,183,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,1652 MEXICO
-58421782575094310,-34631369971819452,AV PAVON Y 33 ORIENTALES,"33 ORIENTALES 1439, ENTRE AV. PAVON Y AV. GARAY",ESTACION_AUTOMATICA.PNG,AUTOMATICA,jul-17,185,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,1439 TREINTA Y TRES ORIENTALES
-58407142529845490,-34612551285682868,CATAMARCA,ADOLFO ALSINA 2910 Y CATAMARCA,ESTACION_AUTOMATICA.PNG,AUTOMATICA,jul-17,186,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,2910 ALSINA ADOLFO
-5838561510328617,-34597798804635824,TALCAHUANO,TALCAHUANO 1034 Y MARCELO T DE ALVEAR,ESTACION_AUTOMATICA.PNG,AUTOMATICA,jul-17,192,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,1034 TALCAHUANO
-5840597385351213,-34591110880844744,ARENALES Y AGUERO,ARENALES 2882 Y AGUERO,ESTACION_AUTOMATICA.PNG,AUTOMATICA,jul-17,193,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,2882 ARENALES
-58422572042117520,-34605952483313380,PERON Y FRANCISCO ACUÑA DE FIGUEROA,"PERON, JUAN DOMINGO TTE 3989 ENTRE FRANCISCO ACUÑA DE FIGUEROA Y MEDRANO",ESTACION_AUTOMATICA.PNG,AUTOMATICA,jul-17,194,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,3989 PERON JUAN DOMINGO TTE
-58433506016026950,-34610796276933668,ARANGUREN,ARANGUREN 188 ENTRE PORTUGAL Y EDUARDO ACEVEDO,ESTACION_AUTOMATICA.PNG,AUTOMATICA,ago-17,188,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,188 ARANGUREN JUAN F DR
-58391318632494576,-34630678908608008,PEDRO ECHAGUE,PEDRO ECHAGUE 1878 ENTRE COMBATE DE LOS POZOS Y AV ENTRE RIOS,ESTACION_AUTOMATICA.PNG,AUTOMATICA,ago-17,184,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,1878 ECHAGUE PEDRO
-58385586020481096,-34588474694640744,POSADAS,POSADAS 1350 ENTRE MONTEVIDEO Y RODRIGUEZ PEÑA,ESTACION_AUTOMATICA.PNG,AUTOMATICA,ago-17,189,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,1350 POSADAS
